block_code,block_name,lgd_code,district_code
5884,Agastheeswaram,5884,575
5704,Alandur,5704,568
5824,Alangudi,5824,582
5875,Alangulam,5875,733
5951,Alathur,5951,581
5878,Ambasamudram,5878,592
5700,Ambattur,5700,568
5719,Ambur,5719,732
7161,Aminjikarai,7161,568
5964,Anaicut,5964,595
6643,Anaimalai,6643,569
6662,Anchetty,6662,577
5983,Andimadam,5983,610
5846,Andipatti,5846,588
5955,annur,5955,569
5969,Anthiyur,5969,573
5715,Arakonam,5715,731
5721,Arani,5721,593
5826,Aranthangi,5826,582
5768,Aravakurichi,5768,576
5716,Arcot,5716,731
5787,Ariyalur,5787,610
5853,Aruppukkottai,5853,597
5994,Athoor,5994,572
5743,Attur,5743,584
6621,Avadi,6621,589
5903,Avanashi,5903,634
5828,Avudayarkoil,5828,582
7163,Ayanavaram,7163,568
6613,Bargur,6613,577
5750,Bhavani,5750,573
6645,Bhuvanagiri,6645,570
5842,Bodinayakanur,5842,588
5966,Budalur,5966,586
5706,Chengalpattu,5706,730
5725,Chengam,5725,593
6648,Cheranmahadevi,6648,592
6617,Chetpet,6617,593
5722,Cheyyar,5722,593
5711,Cheyyur,5711,730
5791,Chidambaram,5791,570
5977,Chinnasalem,5977,729
5897,Coimbatore North,5897,569
5898,Coimbatore South,5898,569
5758,Coonoor,5758,587
5789,Cuddalore,5789,570
5892,Denkanikottai,5892,577
5831,Devakottai,5831,585
5902,Dharapuram,5902,634
5888,Dharmapuri,5888,571
5980,DindigulEast,5980,572
5979,DindigulWest,5979,572
5738,Edappadi,5738,584
7164,Egmore,7164,568
6633,Eral,6633,594
5753,Erode,5753,573
5863,Ettayapuram,5863,594
5820,Gandarvakkottai,5820,582
5744,Gangavalli,5744,584
5728,Gingee,5728,596
5751,Gobichettipalayam,5751,573
5755,Gudalur,5755,587
5712,Gudiyatham,5712,595
7169,Guindy,7169,568
6700,Gujiliamparai,6700,572
5693,Gummidipoondi,5693,589
5886,Harur,5886,571
5890,Hosur,5890,577
5834,Ilayangudi,5834,585
5818,Iluppur,5818,582
6631,Jamunamarathoor,6631,593
5859,Kadaladi,5859,583
5772,Kadavur,5772,576
6619,Kadayampatti,6619,584
6639,Kadayanallur,6639,733
6644,Kalaiyarkoil,6644,585
5959,Kalasapakkam,5959,593
7059,Kalavai,7059,731
5882,Kalkulam,5882,575
5734,Kallakkurichi,5734,729
6615,Kalligudi,6615,578
7055,KALVARAYAN HILLS,7055,729
5858,Kamuthi,5858,583
5707,Kancheepuram,5707,574
6651,Kandachipuram,6651,596
5901,Kangeyam,5901,634
5830,Karaikkudi,5830,585
5825,Karambakudi,5825,582
5851,Kariapatti,5851,597
6622,KARIMANGALAM,6622,571
5769,Karur,5769,576
5713,Katpadi,5713,595
5792,Kattumannarkoil,5792,570
6628,Kayathar,6628,594
6654,KILAKARAI,6654,583
6673,Killiyoor,6673,575
6630,Kilpennathur,6630,593
5800,Kilvelur,5800,579
5956,KINATHUKADAVU,5956,569
5766,Kodaikanal,5766,572
6637,Kodumudi,6637,573
6625,KOLLI HILLS,6625,580
6627,Koothanallur,6627,590
5757,Kotagiri,5757,587
5862,Kovilpatti,5862,594
5891,Krishnagiri,5891,577
5770,Krishnarayapuram,5770,576
5804,Kudavasal,5804,590
5819,Kulathur,5819,582
5771,Kulithalai,5771,576
6634,KUMARAPALAYAM,6634,580
5811,Kumbakonam,5811,586
5759,Kundah,5759,587
7057,KUNDRATHUR,7057,574
5976,Kunnam,5976,581
5790,Kurinjipadi,5790,570
5797,Kuthalam,5797,735
7052,K V Kuppam,7052,595
5777,Lalgudi,5777,591
5907,Madathukulam,5907,634
5986,Madukkari,5986,569
5960,MADURAI EAST,5960,578
5836,Madurai North,5836,578
5841,Madurai South,5841,578
5961,MADURAI WEST,5961,578
5710,Maduranthakam,5710,730
5981,Maduravoyal,5981,568
7165,Mambalam,7165,568
5776,Manachanallur,5776,591
5833,Manamadurai,5833,585
5827,Manamelkudi,5827,582
5781,Manapparai,5781,591
5985,Manmangalam,5985,576
5808,Mannargudi,5808,590
6647,Manur,6647,592
6650,MARAKANAM,6650,596
5954,MARUNGAPURI,5954,591
5701,Mathavaram,5701,568
5796,Mayiladuthurai,5796,735
6652,Melmalaiyanur,6652,596
5835,Melur,5835,578
5895,Mettupalayam,5895,569
5736,Mettur,5736,584
6636,Modakkurichi,6636,573
6635,MOHANUR,6635,580
5857,Mudukulathur,5857,583
5774,Musiri,5774,591
7170,Mylapore,7170,568
5799,Nagapattinam,5799,579
6623,Nallampalli,6623,571
5747,Namakkal,5747,580
6638,Nambiyur,6638,573
5879,Nanguneri,5879,592
5805,Nannilam,5805,590
5763,Natham,5763,572
5963,Natrampalli,5963,732
5807,Needamangalam,5807,590
6664,Nemili,6664,731
5767,Nilakkottai,5767,572
5761,Oddanchatram,5761,572
5737,Omalur,5737,584
5815,Orathanadu,5815,586
5865,Ottapidaram,5865,594
5885,Palakkodu,5885,571
5760,Palani,5760,572
5877,Palayamkottai,5877,592
5905,Palladam,5905,634
6629,Pallavaram,6629,730
5697,Pallipattu,5697,589
5788,Panruti,5788,570
5754,Panthalur,5754,587
5812,Papanasam,5812,586
5887,Pappireddipatti,5887,571
5856,Paramakudi,5856,583
5748,Paramathi-Velur,5748,580
5816,Pattukkottai,5816,586
5889,Pennagaram,5889,571
5839,Peraiyur,5839,578
5973,Perambalur,5973,581
7166,Perambur,7166,568
5817,Peravurani,5817,586
5843,Periyakulam,5843,588
6663,Pernambut,6663,595
5752,Perundurai,5752,573
5957,Perur,5957,569
6618,Pethanaickanpalayam,6618,584
5893,Pochampalli,5893,577
5899,Pollachi,5899,569
5724,Polur,5724,593
5823,Ponnamaravathi,5823,582
5694,Ponneri,5694,589
5699,Poonamallee,5699,589
5821,Pudukkottai,5821,582
6676,Pugalur,6676,576
7167,Purasawalkam,7167,568
5880,Radhapuram,5880,592
5847,Rajapalayam,5847,597
6653,RAJASINGAMANGALAM,6653,583
5860,Ramanathapuram,5860,583
5861,Rameswaram,5861,583
5746,Rasipuram,5746,580
6674,R K PET,6674,589
5740,Salem,5740,584
5970,Salem South,5970,584
5971,Salem West,5971,584
5871,Sankarankoil,5871,733
5733,Sankarapuram,5733,729
5739,Sankari,5739,584
5869,Sathankulam,5869,594
5749,Sathyamangalam,5749,573
5854,Sattur,5854,597
6632,SENDAMANGALAM,6632,580
5785,Sendurai,5785,610
5874,Shenkottai,5874,733
5705,Sholinganallur,5705,568
7060,Sholinghur,7060,731
6641,Shoolagiri,6641,577
5995,Singampunari,5995,585
5795,Sirkali,5795,735
5832,Sivaganga,5832,585
5870,Sivagiri,5870,733
5849,Sivakasi,5849,597
6646,Srimushnam,6646,570
5702,Sriperumbudur,5702,574
5778,Srirangam,5778,591
5867,Srivaikuntam,5867,594
5848,Srivilliputhur,5848,597
5896,Sulur,5896,569
5703,Tambaram,5703,730
5873,Tenkasi,5873,733
7120,Thalaivasal,7120,584
6539,Thalavadi,6539,573
5726,THANDRAMPET,5726,593
5814,Thanjavur,5814,586
5798,Tharangambadi,5798,735
5844,Theni,5844,588
5801,Thirukkuvalai,5801,579
5840,Thirumangalam,5840,578
5822,Thirumayam,5822,582
5962,THIRUPPARANKUNDRAM,5962,578
5829,Thiruppathur,5829,585
5965,Thiruppuvanam,5965,585
5809,Thiruthuraipoondi,5809,590
5813,Thiruvaiyaru,5813,586
5698,Thiruvallur,5698,589
5806,Thiruvarur,5806,590
6672,Thiruvattar,6672,575
7053,THIRUVENNAINALLUR,7053,596
5780,Thiruverumbur,5780,591
5810,Thiruvidaimarudur,5810,586
5866,Thoothukkudi,5866,594
5773,Thottiyam,5773,591
5883,Thovala,5883,575
5775,Thuraiyur,5775,591
5729,Tindivanam,5729,596
5868,Tiruchendur,5868,594
5745,Tiruchengode,5745,580
6620,Tiruchirappalli East,6620,591
5779,Tiruchirappalli West,5779,591
5852,Tiruchuli,5852,597
5709,Tirukalukundram,5709,730
5732,Tirukkoyilur,5732,729
5876,Tirunelveli,5876,592
5720,Tirupathur,5720,732
5958,Tiruporur,5958,730
5967,TiruppurNorth,5967,634
5968,Tiruppursouth,5968,634
5696,Tiruttani,5696,589
5855,Tiruvadanai,5855,583
5727,Tiruvannamalai,5727,593
6642,Tiruvengadam,6642,733
5982,Tiruvottiyur,5982,568
6649,Tisayanvilai,6649,592
5794,Tittakudi,5794,570
7168,Tondiarpet,7168,568
5786,Udayarpalayam,5786,610
5756,Udhagamandalam,5756,587
5906,Udumalaipettai,5906,634
5735,Ulundurpettai,5735,729
5838,Usilampatti,5838,578
5845,Uthamapalayam,5845,588
5894,Uthangarai,5894,577
5708,Uthiramerur,5708,574
5695,Uthukkottai,5695,589
6616,Uthukuli,6616,634
5837,Vadipatti,5837,578
5803,Valangaiman,5803,590
5900,Valparai,5900,569
7058,Vandalur,7058,730
5723,Vandavasi,5723,593
5718,Vaniyambadi,5718,732
5730,Vanur,5730,596
5742,Vazhapadi,5742,584
5802,Vedaranyam,5802,579
5762,Vedasandur,5762,572
5872,Veerakeralamputhur,5872,733
7171,Velachery,7171,568
5717,Vellore,5717,595
6624,Vembakkam,6624,593
6640,VEMBAKOTTAI,6640,597
5974,Veppanthattai,5974,581
5953,veppur,5953,570
5978,Vikravandi,5978,596
5864,Vilathikulam,5864,594
5881,Vilavancode,5881,575
5731,Viluppuram,5731,596
6614,Viralimalai,6614,582
5793,Virudhachalam,5793,570
5850,Virudhunagar,5850,597
6626,Walajabad,6626,574
5714,Wallajah,5714,731
6675,WATRAP,6675,597
5741,Yercaud,5741,584
