district_code,district_name,lgd_code
610,Ariyalur,610
730,CHENGALPATTU,730
568,CHENNAI,568
569,COIMBATORE,569
570,CUDDALORE,570
571,DHARMAPURI,571
572,DINDIGUL,572
573,ERODE,573
729,KALLAKURICHI,729
574,KANCHIPURAM,574
575,KANNIYAKUMARI,575
576,KARUR,576
577,KRISHNAGIRI,577
578,MADURAI,578
735,Mayiladuthurai,735
579,NAGAPATTINAM,579
580,NAMAKKAL,580
581,PERAMBALUR,581
582,PUDUKKOTTAI,582
583,RAMANATHAPURAM,583
731,Ranipet,731
584,SALEM,584
585,SIVAGANGA,585
733,TENKASI,733
586,THANJAVUR,586
588,THENI,588
587,THE NILGIRIS,587
589,THIRUVALLUR,589
590,THIRUVARUR,590
591,TIRUCHIRAPPALLI,591
592,TIRUNELVELI,592
732,Tirupathur,732
634,TIRUPPUR,634
593,TIRUVANNAMALAI,593
594,TUTICORIN,594
595,VELLORE,595
596,VILLUPURAM,596
597,VIRUDHUNAGAR,597
