village_code,village_name,lgd_code,pincode,block_code
636338,Alagapuram,636338,,5983
636343,Andimadam,636343,,5983
636353,Anikudichan (North),636353,,5983
636354,Anikudichan (South),636354,,5983
636334,Authukurichi,636334,,5983
636342,Ayyur,636342,,5983
636430,Ayyur (Kanguli) R.F,636430,,5983
636429,Ayyur RF,636429,,5983
636363,Devanur,636363,,5983
636341,Edaayankurichi,636341,,5983
636380,Elaiyur (East),636380,,5983
636379,Elaiyur (West),636379,,5983
636357,Kattathur (North),636357,,5983
636358,Kattathur (South),636358,,5983
636360,Kodukkur,636360,,5983
636355,Koovathur (North),636355,,5983
636431,Koovathur RF,636431,,5983
636356,Koovathur (South),636356,,5983
636359,Kuvagam,636359,,5983
636433,Kuvagam RF,636433,,5983
636361,Marudur,636361,,5983
636364,Melur,636364,,5983
636432,Melur Devanur RF,636432,,5983
636428,Mudukulam R.F,636428,,5983
636333,Olaiyur,636333,,5983
636346,Periakrishnapuram,636346,,5983
636336,Rangiyam,636336,,5983
636339,Silumbur (North),636339,,5983
636340,Silumbur (South),636340,,5983
636337,Siluvaicheri,636337,,5983
636427,Siluvaicheri RF,636427,,5983
636335,Sriraman,636335,,5983
636347,Thirukalappur,636347,,5983
931845,வரதராஜன்பேட்டை,931845,,5983
636362,Variyankaval,636362,,5983
636344,Vilandai (North),636344,,5983
636345,Vilandai (South),636345,,5983
636517,Alagiyamanavalam,636517,,5787
636486,Alanduraiyarkattalai,636486,,5787
636464,Ammenabath,636464,,5787
636487,Andipattakkadu,636487,,5787
636510,Annimangalam,636510,,5787
636466,Ariyalur (North),636466,,5787
931841,அரியலூர் (தெற்கு),931841,,5787
636484,Arungal,636484,,5787
636482,Avansuthamalli,636482,,5787
636459,Ayanathur,636459,,5787
636494,Chinnapattakadu,636494,,5787
636475,Edayathankudi,636475,,5787
636516,Elakurichi,636516,,5787
636505,Elandakudam,636505,,5787
636456,Govindapuram,636456,,5787
636491,Guruvadi,636491,,5787
636454,Illuppaiyur,636454,,5787
636458,Kadugur,636458,,5787
636457,Kallankurichi,636457,,5787
636492,Kamarasavalli,636492,,5787
636509,Kandiratheertham,636509,,5787
636498,Karaiyavetti,636498,,5787
636485,Karuppilakattalai,636485,,5787
636476,Karuppur (Senapathy),636476,,5787
636460,Kavanur,636460,,5787
636465,Kayarlabath,636465,,5787
636479,Keelaiyur,636479,,5787
636495,Keelakolathur,636495,,5787
636497,Keezhakavattankurichi,636497,,5787
636477,Keezhapalur,636477,,5787
636503,Kovil Esanai (East),636503,,5787
636504,Kovil Esanai (West),636504,,5787
636493,Kovilur,636493,,5787
636506,Kulamanickam (East),636506,,5787
636507,Kulamanickam (West),636507,,5787
636469,Mallur,636469,,5787
636511,Manjamedu,636511,,5787
636480,Melapalur,636480,,5787
636473,Nagamangalam,636473,,5787
636489,Oriyur,636489,,5787
636455,Ottakoil,636455,,5787
636502,Palinganatham,636502,,5787
636478,Papanacheri,636478,,5787
636463,Periyanagalur,636463,,5787
636474,Periyathirukonam,636474,,5787
636481,Poondi,636481,,5787
636451,Pottaveli,636451,,5787
636471,Pudupalayam,636471,,5787
636488,Pungankuzhi,636488,,5787
636452,Rayampuram,636452,,5787
636472,Reddipalayam,636472,,5787
636500,Sannavur (North),636500,,5787
636501,Sannavur (South),636501,,5787
636483,Sathamangalam,636483,,5787
636453,Sennivanam,636453,,5787
636470,Siruvalur,636470,,5787
636515,Sullangudi,636515,,5787
636462,Thelur,636462,,5787
636512,Thirumanur,636512,,5787
636508,Thirumazhapadi,636508,,5787
636490,Thuthur,636490,,5787
636513,Vadugapalayam,636513,,5787
636467,Valajanagaram,636467,,5787
636468,Varanavasi,636468,,5787
636499,Venganur,636499,,5787
636496,Vetriyur,636496,,5787
636461,Vilangudi,636461,,5787
636514,Vilupanankurichi,636514,,5787
636309,Adhanakurichi,636309,,5785
636308,Alathiyur,636308,,5785
636331,Anandavadi,636331,,5785
636314,Asaveerankudikkadu,636314,,5785
636311,Ayanathathanur,636311,,5785
636330,Irumbilikurichi,636330,,5785
636323,Keezhamaligai,636323,,5785
636332,Kilimangalam,636332,,5785
636312,Kulumur,636312,,5785
636310,Manakkudaiyan,636310,,5785
636313,Manapathur,636313,,5785
636321,Maruvathur,636321,,5785
636324,Nagalkuzhi,636324,,5785
636320,Nakkampadi,636320,,5785
636319,Namangunam,636319,,5785
636329,Paranam,636329,,5785
636317,Periyakurichi,636317,,5785
636325,Pilakurichi,636325,,5785
636322,Ponparappi,636322,,5785
636305,Sannasinallur,636305,,5785
636327,Sendurai,636327,,5785
636316,Sirkalathur,636316,,5785
636328,Sirukadambur,636328,,5785
636306,Thalavoi (North),636306,,5785
636307,Thalavoi (South),636307,,5785
636315,Tular,636315,,5785
636326,Unjini,636326,,5785
636318,Vanjinapuram,636318,,5785
636444,Adichanur RF,636444,,5786
636449,Alvoy Extention RF,636449,,5786
636447,Alvoy RF,636447,,5786
636376,Amanakkanthondi,636376,,5786
636418,Ammbappur,636418,,5786
636446,Ammbappur RF,636446,,5786
636394,Anaikudam,636394,,5786
636382,Angarayanallur (East),636382,,5786
931847,அங்கராயனல்லூர் (மேற்கு),931847,,5786
636393,Cholamadevi,636393,,5786
636383,Devamangalam,636383,,5786
636349,Dharmasamudram,636349,,5786
636409,Edanganni,636409,,5786
636381,Edayar,636381,,5786
636374,Elayaperumalnallur,636374,,5786
636352,Eravangudy,636352,,5786
636423,Govindaputhur,636423,,5786
636386,Guruvalapparkovil,636386,,5786
636413,Irugaiyur,636413,,5786
931850,ஜெயங்கொண்டசோழபுரம்,931850,,5786
636421,Kadambur,636421,,5786
636412,Karaikurichi,636412,,5786
636371,Kattagaram (North),636371,,5786
636372,Kattagaram (South),636372,,5786
636366,Keelakudiyiruppu,636366,,5786
636420,Keelanatham,636420,,5786
636392,Kodalikaruppur,636392,,5786
636407,Kodangudi (North),636407,,5786
636408,Kodangudi (South),636408,,5786
636387,Kulothunganallur,636387,,5786
636370,Kundaveli (East),636370,,5786
636369,Kundaveli (West),636369,,5786
636450,Madanathur RF,636450,,5786
636401,Managethi,636401,,5786
636439,Managethi RF,636439,,5786
636373,Muthuservamadam,636373,,5786
636414,Naduvalur (East),636414,,5786
636442,Naduvalur RF,636442,,5786
636415,Naduvalur (West),636415,,5786
636406,Nayaganaipriyal,636406,,5786
636441,Nayaganaipriyal RF,636441,,5786
636350,Pappakudi (North),636350,,5786
636351,Pappakudi (South),636351,,5786
636405,Parukkal (East),636405,,5786
636440,Parukkal RF,636440,,5786
636404,Parukkal (West),636404,,5786
636377,Periyavalayam,636377,,5786
636436,Periyavalayam R.F,636436,,5786
636396,Pilichikuzihi,636396,,5786
636367,Pirancheri,636367,,5786
636375,Pitchanur,636375,,5786
636422,Sathambadi,636422,,5786
636448,Sathambadi RF,636448,,5786
636378,Sooriyamanal,636378,,5786
636437,Sooriyamanal R.F,636437,,5786
636424,Sripurandan (North),636424,,5786
636425,Sripurandan (South),636425,,5786
636443,Sundaresapuram RF,636443,,5786
636416,Suthamalli,636416,,5786
636388,Thaluthalaimedu,636388,,5786
636365,Thandalai,636365,,5786
636434,Thanimarathukadu RF,636434,,5786
636399,Thathanur(East),636399,,5786
636400,Thathanur(West),636400,,5786
636410,Thenkatchiperumalnatham,636410,,5786
636411,T.Palur,636411,,5786
636397,T.Sholankurichi (North),636397,,5786
636398,T.Sholankurichi (South),636398,,5786
636391,Udayanatham (East),636391,,5786
636390,Udayanatham (West),636390,,5786
931852,உடையார்பாளையம் (கிழக்கு),931852,,5786
636438,Udayarpalayam R.F,636438,,5786
931853,உடையார்பாளையம் (மேற்கு),931853,,5786
636419,Udayavarthiyanur,636419,,5786
636417,Uliyankudi,636417,,5786
636384,Ulkottai (North),636384,,5786
636385,Ulkottai (South),636385,,5786
636445,Ulliyankudi RF,636445,,5786
636426,Valaikurichi,636426,,5786
636395,Vanathirayampattinam,636395,,5786
636348,Vangudi,636348,,5786
636389,Vembukudi,636389,,5786
636403,Venmankondan (East),636403,,5786
636402,Venmankondan (West),636402,,5786
636368,Vethiyarvettu,636368,,5786
636435,Vethiyarvettu R.F,636435,,5786
629573,Alapakkam (CT),629573,,5706
934037,Ammanambakkam,934037,,5706
629467,Anjur,629467,,5706
629560,Anjur R.F,629560,,5706
629427,Appur,629427,,5706
629548,Appur R.F,629548,,5706
629473,Athur,629473,,5706
932372,ஆத்தூா் ஆ,932372,,5706
932160,செங்கல்பட்டு,932160,,5706
629453,Chettipunyam,629453,,5706
932262,சித்தமனுர்,932262,,5706
629444,Dasarikunnathur,629444,,5706
629478,Echankaranai,629478,,5706
629543,Gudalore R.F,629543,,5706
932165,குண்டுா்,932165,,5706
629445,Guruvanmedu,629445,,5706
629476,Hanumanthai,629476,,5706
629472,Ideeyankodumanthangal,629472,,5706
932170,இருங்குன்றப்பள்ளி,932170,,5706
629454,Kachadimangalam,629454,,5706
932224,களிவந்தம்பட்டு,932224,,5706
629471,Kanthalur,629471,,5706
629442,Karambur,629442,,5706
629441,Karunilam,629441,,5706
932382,காட்டாங்கொளத்தூர்,932382,,5706
629547,Kattankolathur R.F,629547,,5706
629411,Kayarambedu,629411,,5706
932285,கீழகரணை,932285,,5706
629443,Kolathur,629443,,5706
932202,கோனாதி,932202,,5706
629455,Kondamangalam,629455,,5706
629452,Kongadu,629452,,5706
629504,Kovilanthangal,629504,,5706
629477,Kunnavakkam,629477,,5706
629507,Melamaiyur,629507,,5706
629446,Melmanapakkam,629446,,5706
932154,நத்தம் அ,932154,,5706
932145,நத்தம் ஆ,932145,,5706
932219,நின்னக்கரை,932219,,5706
629508,Ozhalur,629508,,5706
629447,Palur,629447,,5706
932185,பாலூா் ஆ,932185,,5706
932189,பாலூா் இ,932189,,5706
932231,பனங்காட்டூா்,932231,,5706
629470,Paranur,629470,,5706
629561,Paranur R.F,629561,,5706
932249,பாரேரி,932249,,5706
629479,Pattaravakkam,629479,,5706
629506,Pazhaveli,629506,,5706
932237,பேரமனூா்,932237,,5706
629502,Periyaputheri,629502,,5706
629425,Perumalthangal,629425,,5706
629509,Porunthavakkam,629509,,5706
932192,பொத்தேரி,932192,,5706
629474,Pulipakkam,629474,,5706
629475,Rajakulipettai,629475,,5706
629449,Sasthirambakkam,629449,,5706
932241,சட்டமங்கலம்,932241,,5706
629553,Sengundram R.F,629553,,5706
629480,Senneri,629480,,5706
629426,Senthamangalam,629426,,5706
629571,Singaperumalkoil (CT),629571,,5706
932208,தைலாவரம்,932208,,5706
629428,Thalimangalam,629428,,5706
629468,Thenmelpakkam,629468,,5706
629505,Thenur,629505,,5706
932272,திருக்கச்சூர்,932272,,5706
629554,Thirutheri R.F,629554,,5706
629503,Thiruvadisoolam,629503,,5706
629572,Vallam (CT),629572,,5706
629564,Vallam R.F,629564,,5706
934038,Vallancheri,934038,,5706
932180,வேதநாராயணபுரம்,932180,,5706
629469,Veerapuram,629469,,5706
629450,Vembakkam,629450,,5706
629451,Venkatapuram,629451,,5706
629448,Villiambakkam,629448,,5706
932246,விஞ்சியம்பாக்கம்,932246,,5706
630256,Agaram,630256,,5711
630196,Akkinambattu,630196,,5711
932568,ஆலம்பரை,932568,,5711
630236,Ammanambakkam,630236,,5711
630209,Ammanur,630209,,5711
630264,Andarkuppam,630264,,5711
630238,Arappedu,630238,,5711
630263,Arasur,630263,,5711
630205,Atchivilagam,630205,,5711
630245,Attupattukottaipunji,630245,,5711
630240,Ayakunnam,630240,,5711
630208,Cheyyur,630208,,5711
932518,செய்யூா் ஆ,932518,,5711
932529,செய்யூா் இ,932529,,5711
932541,செய்யூா் ஈ உ,932541,,5711
932550,செய்யூா் ஆர்,932550,,5711
932557,சின்ன கயப்பாக்கம்,932557,,5711
630181,Chinnavelikadu,630181,,5711
630219,Chithamur,630219,,5711
630211,Chitharkadu,630211,,5711
630254,Chunampet,630254,,5711
630262,Easur,630262,,5711
932584,கெங்கதேவன் குப்பம்,932584,,5711
630255,Illedu,630255,,5711
630235,Indalur,630235,,5711
630199,Iranyasidhi,630199,,5711
630228,Irumbili,630228,,5711
630164,Kadalur,630164,,5711
630259,Kadappari,630259,,5711
630183,Kadugupattu,630183,,5711
630252,Kadukalur,630252,,5711
630170,Kalkulam,630170,,5711
630191,Kanathur,630191,,5711
630218,Kannimangalam,630218,,5711
630154,Karuppur,630154,,5711
630246,Kayapakkam,630246,,5711
630227,Keelmaruvathur,630227,,5711
630225,Kesavarayanpettai,630225,,5711
630165,Kilarkollai,630165,,5711
630190,Kodapattinam,630190,,5711
630194,Kodur,630194,,5711
630212,Kokkaranthangal,630212,,5711
630239,Kolathur,630239,,5711
932692,கூனங்கரணை,932692,,5711
630166,Koovathur,630166,,5711
630251,Kottaikadu,630251,,5711
630221,Kurambarai,630221,,5711
630176,Lathur,630176,,5711
630156,Madavilagam,630156,,5711
630204,Madayambakkam,630204,,5711
630230,Magundagiri,630230,,5711
630187,Malrajakuppam,630187,,5711
630222,Maluvankaranai,630222,,5711
630168,Manicuppam,630168,,5711
630210,Maruderi,630210,,5711
630226,Melmaruvathur,630226,,5711
932588,முதலியார் குப்பம்,932588,,5711
630193,Mugaiyur,630193,,5711
630189,Murukkanthangal,630189,,5711
630188,Nedumaram,630188,,5711
630152,Neelamangalam,630152,,5711
630153,Nelvoy,630153,,5711
630185,Nelvoypalayam,630185,,5711
630200,Nemanadam,630200,,5711
630244,Nerkunam,630244,,5711
630167,Nerkunampattu,630167,,5711
630253,Othivilagam,630253,,5711
630177,Pachambakkam,630177,,5711
630201,Pakkavancheri,630201,,5711
630207,Pakkur,630207,,5711
630184,Palur,630184,,5711
932574,பனையூா்,932574,,5711
630249,Panayadivakkam,630249,,5711
630206,Paramankeni,630206,,5711
630162,Parameswaramangalam,630162,,5711
630159,Parasanallur,630159,,5711
630232,Parukkal,630232,,5711
630178,Pavunjur,630178,,5711
630173,Pekkaranai,630173,,5711
630229,Perambakkam,630229,,5711
630247,Periakalakadi,630247,,5711
630180,Periavelikadu,630180,,5711
630231,Perukkaranai,630231,,5711
932602,பெருக்கரணை ஆ,932602,,5711
630186,Perumalcheri,630186,,5711
630197,Perumbakkam,630197,,5711
630160,Poiganallur,630160,,5711
630220,Polambakkam,630220,,5711
630213,Pondur,630213,,5711
630216,Poongunam,630216,,5711
630223,Poraiyur,630223,,5711
630161,Poranjeri,630161,,5711
630215,Porur,630215,,5711
630198,Pudupattu,630198,,5711
630267,Pudupattu,630267,,5711
630242,Puliyani,630242,,5711
630175,Punnamai,630175,,5711
630217,Puoriampakkam,630217,,5711
630248,Puthirankottai,630248,,5711
630172,Sathamangalam,630172,,5711
630195,Sathiamangalam,630195,,5711
630174,Seevadi,630174,,5711
630157,Sembur,630157,,5711
630202,Sengattur,630202,,5711
630155,Sevur,630155,,5711
630258,Sirumailur,630258,,5711
630257,Sirunagar,630257,,5711
630260,Siruvilambakkam,630260,,5711
630224,Sothupakkam,630224,,5711
630233,Thandalam,630233,,5711
630158,Thandarai,630158,,5711
630237,Thenpakkam,630237,,5711
630203,Thirupurakoil,630203,,5711
630182,Thiruvadur,630182,,5711
630169,Thondamanallur,630169,,5711
630241,Thuthuvilampattu,630241,,5711
630179,Uludamangalam,630179,,5711
630171,Vadakkuvayaloor,630171,,5711
630192,Vadapattinam,630192,,5711
630265,Vannianallur,630265,,5711
630250,Vedal,630250,,5711
630268,Vellankondagaram,630268,,5711
932562,வேம்பனூா்,932562,,5711
630261,Venmalagaram,630261,,5711
630163,Veppancheri,630163,,5711
630234,Vettamperumbakkam,630234,,5711
630266,Vilambattu,630266,,5711
630214,Vilangadu,630214,,5711
630243,Voyalur,630243,,5711
932639,அச்சிறுப்பாக்கம்,932639,,5710
630069,Agili,630069,,5710
630037,Alapakkam,630037,,5710
630132,Allanur,630132,,5710
630146,Allur,630146,,5710
630075,Amayambattu,630075,,5710
630112,Anaikunnam,630112,,5710
630123,Anathamangalam,630123,,5710
630000,Andavakkam,630000,,5710
630115,Annangal,630115,,5710
932659,அனுமந்தக்குப்பம்,932659,,5710
629992,Arayapakkam,629992,,5710
630087,Ariyanur,630087,,5710
630053,Arungunam,630053,,5710
629994,Athimanam,629994,,5710
630106,Athivakkam,630106,,5710
630084,Athivakkam,630084,,5710
629966,Athiyur,629966,,5710
630151,Athur,630151,,5710
630079,Avirimedu,630079,,5710
630130,Baburayanpettai,630130,,5710
630020,Budur,630020,,5710
629971,Bukkathurai,629971,,5710
630089,Chinnavenmani,630089,,5710
630070,Chinthamani,630070,,5710
630094,Chitamur,630094,,5710
629999,Chithalamangalam,629999,,5710
629979,Chithamur,629979,,5710
630004,Chithathur,630004,,5710
630080,Chitravadi,630080,,5710
630052,Devadur,630052,,5710
630098,Devanur,630098,,5710
630085,Dharmapuram,630085,,5710
630149,Edayalam,630149,,5710
630111,Elappakkam,630111,,5710
630101,Erumbedu,630101,,5710
630019,Eruvakkam,630019,,5710
630055,Gendracheri,630055,,5710
630033,Gudapakkam,630033,,5710
630058,Guddalur,630058,,5710
630114,Gunankaranai,630114,,5710
630025,Irusumanallur,630025,,5710
630021,Isur,630021,,5710
629993,Janakipuram (Sanur),629993,,5710
630139,Kadamalaiputhur,630139,,5710
630008,Kadambur,630008,,5710
934049,Kadaperi,934049,,5710
630042,Kalanipakkam,630042,,5710
630127,Kalathur,630127,,5710
629995,Kallabiranpuram,629995,,5710
630147,Karasangal,630147,,5710
629981,Karikkili,629981,,5710
629974,Karunagaracheri,629974,,5710
630044,Karunagaravilagam,630044,,5710
932665,கருங்குழி,932665,,5710
630028,Kathiricheri,630028,,5710
630095,Kattudevadur,630095,,5710
630066,Kattugudalur,630066,,5710
630065,Kattukkaranai,630065,,5710
630049,Kavadur,630049,,5710
630018,Keelavalam,630018,,5710
630061,Keezhamur,630061,,5710
630129,Kilathivakkam,630129,,5710
630038,Kiliyanagar,630038,,5710
630142,Kilpattu,630142,,5710
630103,Kilvasalai,630103,,5710
630026,Kinar,630026,,5710
629972,Kodithandalam,629972,,5710
629980,Kolathur,629980,,5710
630126,Kongaraimambattu,630126,,5710
630108,Kottakayapakkam,630108,,5710
630010,Kozhiyalam,630010,,5710
629973,Kumaravadi,629973,,5710
629983,Kunnankolathur,629983,,5710
630022,Kunnathur,630022,,5710
630013,Kunnavakkam,630013,,5710
630035,Ladakaranai,630035,,5710
629990,Lakshminarayanapuram,629990,,5710
630036,L.Endathur,630036,,5710
630109,Madhur,630109,,5710
630031,Madurai,630031,,5710
934048,Maduranthakam Part 1,934048,,5710
629968,Maiyur,629968,,5710
629969,Mamandur,629969,,5710
629984,Mambattu,629984,,5710
629977,Mangalam,629977,,5710
630051,Mariputhur,630051,,5710
630068,Mathur,630068,,5710
630083,Melakandai,630083,,5710
932673,மேலவளம்,932673,,5710
630141,Minnal Chithamur,630141,,5710
630140,Minnalkilminnal,630140,,5710
630064,Mogalvadi,630064,,5710
629986,Moosivakkam,629986,,5710
630043,Morappakkam,630043,,5710
630046,Mulli,630046,,5710
630059,Muniyanthangal,630059,,5710
630144,Munnakulam,630144,,5710
630045,Munuthikuppam,630045,,5710
630050,Murukkambakkam,630050,,5710
630024,Murukkancheri,630024,,5710
630145,Murungai,630145,,5710
630093,Nallamur Keelakaranai,630093,,5710
630100,Nallur,630100,,5710
630143,Nedungal,630143,,5710
630104,Neerpair,630104,,5710
630007,Nellai,630007,,5710
629976,Nelli,629976,,5710
629978,Nelvoy,629978,,5710
630105,Nemam,630105,,5710
630086,Nesapakkam,630086,,5710
630077,Nethapakkam,630077,,5710
630091,Netrambakkam,630091,,5710
630060,Orathur,630060,,5710
630116,Orathy,630116,,5710
630090,Ozhavetti,630090,,5710
629988,Padalam,629988,,5710
630062,Padiri,630062,,5710
630073,Pakkam,630073,,5710
629987,Palayanur,629987,,5710
629975,Palliagaram,629975,,5710
630137,Pallipettai,630137,,5710
630006,Pambayambattu,630006,,5710
630005,Pappanallur,630005,,5710
630015,Pasumbur,630015,,5710
630039,Pasuvankaranai,630039,,5710
629991,Pathur,629991,,5710
630138,Perumbairkandigai,630138,,5710
630032,Perumbakkam,630032,,5710
630092,Peruveli,630092,,5710
629964,Pilappur,629964,,5710
630014,Pillanthikuppam,630014,,5710
630110,Pinnampoondi,630110,,5710
630097,Poondi,630097,,5710
630128,Poragal,630128,,5710
630030,Puducheri,630030,,5710
630016,Pudupattu,630016,,5710
630074,Pulikkoradu,630074,,5710
629989,Pulipurakoil,629989,,5710
630081,Puliyaranankottai,630081,,5710
629982,Puzhuthivakkam,629982,,5710
629970,Pzhamathur,629970,,5710
630113,Rajapalayam,630113,,5710
932653,ராவத்தநல்லூா்,932653,,5710
629967,Sampathinallur,629967,,5710
629996,Sathamai,629996,,5710
630134,Seethapuram,630134,,5710
630040,Semppondi,630040,,5710
630124,Senayaneri,630124,,5710
630067,Sendivakkam,630067,,5710
630054,Sholamthangal,630054,,5710
630057,Silavattam,630057,,5710
630125,Sirudamur,630125,,5710
630078,Sirunallur,630078,,5710
630072,Sirungalur,630072,,5710
630131,Sirupairpandi,630131,,5710
630122,Siruvangunam,630122,,5710
629965,Sithandi,629965,,5710
629998,Soorai,629998,,5710
630041,Thandalam,630041,,5710
630029,Thandarai,630029,,5710
630009,Theetalam,630009,,5710
630107,Thimmapuram,630107,,5710
630120,Thinnalur,630120,,5710
630136,Thirumukkadu,630136,,5710
630017,Thottanaval,630017,,5710
630150,Thozhuppedu,630150,,5710
630003,Thuraiyur,630003,,5710
630027,Uludamangalam,630027,,5710
630071,Unamalai,630071,,5710
630135,Uthamanallur,630135,,5710
630118,Vadakkuputhur,630118,,5710
630119,Vadamanipakkam,630119,,5710
630034,Vaippanai,630034,,5710
629985,Vaiyavur,629985,,5710
630047,Valarbirai,630047,,5710
630011,Valayaputhur,630011,,5710
630076,Vasanthavadi,630076,,5710
630012,Vedanthangal,630012,,5710
629997,Vedavakkam,629997,,5710
630023,Veeranakunnam,630023,,5710
630063,Velamur,630063,,5710
630148,Veliambakkam,630148,,5710
630002,Vellaputhur,630002,,5710
630099,Vellarai,630099,,5710
630088,Venmari,630088,,5710
630117,Veppankaranai,630117,,5710
630048,Vilagam,630048,,5710
630133,Vilangadu,630133,,5710
630056,Vilvarayanallur,630056,,5710
630001,Vinayaganallur,630001,,5710
630121,Vinnampoondi,630121,,5710
630096,Viralur,630096,,5710
630102,Z.Budur,630102,,5710
630082,Z.Endathur,630082,,5710
933218,அனகாபுத்தூர்,933218,,6629
933215,கண்டோன்மெண்ட் பல்லாவரம்,933215,,6629
629374,Cowl Bazaar (OG),629374,,6629
933209,இசா பல்லாவரம்,933209,,6629
933211,அஸ்தினாபுரம்,933211,,6629
933203,ஜமீன் பல்லாவரம் அ,933203,,6629
933207,ஜமீன் பல்லாவரம் ஆ,933207,,6629
629373,Moovarasampettai (CT),629373,,6629
933213,நெமிலிச்சேரி,933213,,6629
934047,Pallavaram Urban,934047,,6629
933219,பம்மல்,933219,,6629
629371,Polichalur (CT),629371,,6629
933217,புனித தோமையர் மலை,933217,,6629
933220,திருநீர்மலை,933220,,6629
629372,Tirusulam (CT),629372,,6629
629366,Agaramthen,629366,,5703
629378,Arasankalani,629378,,5703
932830,சிட்லபாக்கம்,932830,,5703
932852,கௌரிவாக்கம்,932852,,5703
932890,இரும்புலியூா்,932890,,5703
932868,கடப்பேரி,932868,,5703
629364,Kasbapuram,629364,,5703
629386,Koilambakkam (CT),629386,,5703
629367,Kovilancheri,629367,,5703
932825,மாடம்பாக்கம்,932825,,5703
629368,Madurapakkam,629368,,5703
629387,Medavakkam (CT),629387,,5703
629369,Moolacheri,629369,,5703
629363,Mudichur,629363,,5703
629391,Nanmangalam (OG),629391,,5703
629377,Ottiambakkam,629377,,5703
932884,பீா்க்கன்கரணை,932884,,5703
629375,Perumbakkam,629375,,5703
932878,பெருங்களத்தூா்,932878,,5703
932855,புலிக்கொரடு,932855,,5703
932848,இராஜகீழ்பாக்கம்,932848,,5703
932827,சேலையூர்,932827,,5703
932837,செம்பாக்கம்,932837,,5703
629376,Sittalapakkam,629376,,5703
932873,தாம்பரம்,932873,,5703
629370,Tiruvancheri (OG),629370,,5703
629365,Vengapakkam,629365,,5703
629390,Vengavasal (CT),629390,,5703
629895,Acharavakkam,629895,,5709
629884,Adavilagam,629884,,5709
629869,Alagusamudram,629869,,5709
629902,Amaipakkam,629902,,5709
629962,Amanambakkam RF,629962,,5709
629932,Aminjikarai,629932,,5709
629908,Ammanambakkam,629908,,5709
629916,Anoor,629916,,5709
629926,Arambakkam,629926,,5709
629944,Attavakkam,629944,,5709
629954,Ayapakkam,629954,,5709
932775,பொம்மராஜபுரம்,932775,,5709
932780,சின்னக்காட்டுபாக்கம்,932780,,5709
629907,Echankaranai,629907,,5709
629878,Echur,629878,,5709
629891,Edaiyur,629891,,5709
629900,Edaiyur,629900,,5709
629943,Edayathur,629943,,5709
629894,Egai,629894,,5709
629940,Elumichampattu,629940,,5709
629880,Irumbuli,629880,,5709
629868,Janakipuram,629868,,5709
629875,Kadambady,629875,,5709
629927,Kalpakkam,629927,,5709
629882,Kankeyamkuppam,629882,,5709
629906,Karmarapakkam,629906,,5709
629865,Keelavedu,629865,,5709
629870,Keerapakkam,629870,,5709
629920,Kilapakkam,629920,,5709
629899,Kokilamedu,629899,,5709
932785,கொந்தகாரிகுப்பம்,932785,,5709
629917,Korappattu,629917,,5709
629892,Kothimangalam,629892,,5709
